mes,codigo_producto,metodo,prediccion,inferior,superior,half_width,alpha_aci
2025-03-01,TG000325ALAP,ANIO_ANTERIOR,0.0,0.0,85.0,85.0,0.11000000000000004
2025-03-01,TG000325ALMP,ANIO_ANTERIOR,0.0,0.0,71.0,71.0,0.060000000000000026
2025-03-01,TG000325ALRP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325ALSP,ANIO_ANTERIOR,0.0,0.0,7.0,7.0,0.060000000000000026
2025-03-01,TG000325ALTP,ANIO_ANTERIOR,0.0,0.0,52.0,52.0,0.060000000000000026
2025-03-01,TG000325ALYP,ANIO_ANTERIOR,0.0,0.0,2.0,2.0,0.11000000000000004
2025-03-01,TG000325ARAP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325ARMP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325ARSP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325ARTP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325TEKP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325TELP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG000325TENP,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N004P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N104P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047N204P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N304P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N404P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N504P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N604P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N704P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047N804P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
