codigo_producto,metodo,tiene_hiperparametros,n_scores_aci,alpha_aci
TG000624ALGE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ALGP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ALME,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000624ALMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ALRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ALRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELAC,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELGC,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELGP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELMC,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELRC,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624ELRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000624LLAP,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000626ELAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000626ELAP1,ANIO_ANTERIOR,False,12,0.04500000000000001
TG000626ELAP2,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000626ELMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000626ELMP1,ANIO_ANTERIOR,False,12,0.04500000000000001
TG000626ELMP2,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000626ELRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000626ELRP1,ANIO_ANTERIOR,False,12,0.01
TG000626ELRP2,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000630ELAP,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALAE1,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000725ALAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALAP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALAP2,ANIO_ANTERIOR,False,12,0.020000000000000004
TG000725ALAX,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALFP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALIP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALME,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALME1,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000725ALME2,ANIO_ANTERIOR,False,12,0.030000000000000006
TG000725ALMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALMP1,ANIO_ANTERIOR,False,12,0.05000000000000002
TG000725ALMP2,ANIO_ANTERIOR,False,12,0.015000000000000001
TG000725ALOP,ANIO_ANTERIOR,False,12,0.16000000000000006
